feature,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
boltz_rosetta_A_BC_dSASA_hphobic,1,0.8336465788035,0.5990759914658634,0.5325368581596339,0.6233155563647093,0.615749481640334,0.512613697164259
boltz_rosetta_dSASA_hphobic,1,0.8336465788035,0.5990759914658634,0.5325368581596339,0.6233155563647093,0.615749481640334,0.512613697164259
esmfold_start_A_B_ipSAE_d0chn,1,0.8330905869960741,0.5991969254220629,0.6095360824742269,0.5944340957980573,0.5814401121568357,0.5216220678443974
esmfold_end_glycine_linker_C_B_lis_score_max,1,0.8321449774968878,0.6032534967144274,0.5500698024054983,0.6057783702500448,0.601031647533354,0.498037821155971
esmfold_start_glycine_linker_A_C_lis_score_max,1,0.8317858852820071,0.5726224843225364,0.5661512027491409,0.5817332168007086,0.573834189448524,0.5023749349115431
chai1_ipae_none,1,0.8316546969261707,0.6130175181493678,0.726696735395189,0.6212160002825032,0.6085714942370233,0.5112460153164251
esmfold_ptm_end_glycine_linker,1,0.8315338025471608,0.582760234124637,0.6878758591065293,0.5987422716210689,0.5938049436342951,0.5329760347477108
esmfold_middle_glycine_linker_B_C_pdockq2,1,0.8315146509623671,0.6255977446817277,0.7122530068728523,0.6033255939191158,0.5713175555325725,0.5804493326051893
boltz_all_hs_engaged,1,0.8313933735070007,0.6139966114457831,0.4634595831215048,0.6247798805312375,0.611304412314557,0.5184323167469235
esmfold_start_A_B_pdockq2_max,1,0.831036340132146,0.6362342894305498,0.547546176975945,0.6358693892925351,0.6154534537640339,0.5647455517596109
esmfold_middle_glycine_linker_B_C_pdockq2_max,1,0.8310198218902615,0.6234068724821155,0.7130584192439862,0.6019572184015607,0.5690594798956573,0.5843355897331691
esmfold_start_A_B_lis_score,1,0.8309432155510867,0.641086872717535,0.6617268041237113,0.6276826781315936,0.6098599763275532,0.5271339488690483
