autoregwithoutseq_proteinmpnn,autoregwithoutseq_solublempnn,autoregwithseq_proteinmpnn,autoregwithseq_solublempnn,singleaascorewithoutseq_proteinmpnn,singleaascorewithoutseq_solublempnn,singleaascorewithseq_proteinmpnn,singleaascorewithseq_solublempnn,global_id
0.08377828,0.13586251,0.31485802,0.29825443,0.34139946,0.3231438,0.28713363,0.27325892,208
0.10235672,0.12949175,0.2874741,0.27060285,0.30694145,0.28826606,0.2664967,0.25436458,209
0.10875808,0.12575276,0.31001824,0.2891801,0.32446226,0.30357164,0.2919881,0.26827854,210
0.11561289,0.14335829,0.35940018,0.31639966,0.40004277,0.34354255,0.32709947,0.29644585,211
0.11680144,0.14351408,0.36859614,0.3161546,0.40997976,0.3437162,0.33295506,0.29398647,212
0.11124705,0.13518372,0.35642385,0.3292973,0.3860585,0.34910727,0.33305898,0.31160238,213
0.114739716,0.14080544,0.36493534,0.33829197,0.4065031,0.37397063,0.3215031,0.30810302,214
0.09509085,0.12065246,0.30283648,0.26968756,0.3281849,0.2816967,0.27890325,0.2573452,215
0.11786274,0.12260171,0.34548432,0.30840218,0.3688237,0.32547832,0.31875733,0.28737277,216
0.11571492,0.16439657,0.39338347,0.37410912,0.42099676,0.38973838,0.36032516,0.35154,217
0.12011089,0.17025554,0.3617512,0.35077778,0.3842637,0.3748459,0.33833748,0.32703167,218
0.10495856,0.15638731,0.3609033,0.33811587,0.37596676,0.35524184,0.3411514,0.3160916,219
0.11937247,0.15482014,0.4188289,0.38409927,0.45617142,0.42061743,0.37935418,0.35072568,220
0.07870092,0.12783203,0.29726982,0.27582425,0.3304879,0.30953586,0.27098733,0.24825235,221
0.106189705,0.143201,0.35501617,0.3314399,0.37403983,0.3474882,0.3326223,0.31661943,222
0.089745,0.12355846,0.31362987,0.2860736,0.32791024,0.29906827,0.29895744,0.2775055,223
0.09792329,0.14515525,0.3342281,0.3139688,0.34306532,0.32648462,0.3224797,0.30061188,224
0.0927369,0.13255559,0.32272604,0.2969395,0.34753373,0.3238926,0.29719514,0.2770835,225
0.11265902,0.15683778,0.38281104,0.35106608,0.40645623,0.37194914,0.3512485,0.32974488,226
0.08444797,0.12125175,0.3055354,0.27822262,0.33080348,0.30038947,0.28136668,0.25511962,227
0.101133466,0.12330009,0.32763624,0.29552,0.3610292,0.31726372,0.2967603,0.2806539,228
0.109199926,0.130633,0.38372442,0.34324107,0.45166287,0.3902672,0.32186657,0.30342388,229
0.102110185,0.1397998,0.3560862,0.3348861,0.38509512,0.35281995,0.33195537,0.3141947,230
0.10490316,0.14433618,0.3703976,0.3357858,0.4002928,0.3532958,0.33596689,0.31503916,231
0.12439017,0.16000704,0.39240232,0.3854011,0.41638356,0.4033789,0.365509,0.36427733,232
0.09271087,0.12403108,0.36074314,0.33792526,0.40501207,0.37087655,0.31417096,0.30635038,233
0.093627006,0.12297642,0.33331966,0.29329866,0.3605405,0.3151546,0.29930747,0.2738252,234
0.09404467,0.13666403,0.32111892,0.30297658,0.33488077,0.30959326,0.3048225,0.288799,235
0.099306755,0.13555992,0.35200116,0.32302696,0.3907802,0.34936735,0.305219,0.29165345,236
0.08879272,0.13017856,0.31023434,0.2983627,0.33590895,0.31938353,0.28123644,0.27443796,237
0.10969003,0.13835388,0.36659405,0.34792244,0.38568702,0.36876762,0.3439716,0.31882998,238
0.08498693,0.11128799,0.28868484,0.2701975,0.31238613,0.2845212,0.25982228,0.25152478,239
0.105930135,0.13091272,0.32158372,0.30249333,0.33801544,0.3183901,0.2970453,0.28352123,240
0.12030816,0.14528796,0.3690551,0.33422622,0.39230374,0.34638867,0.3428452,0.31929618,241
0.117600575,0.15783015,0.37416583,0.36486274,0.39122644,0.38375494,0.34819525,0.34143275,242
0.09628083,0.12791245,0.34236974,0.30393904,0.36577323,0.3317986,0.31658927,0.27420205,243
0.1056605,0.15530287,0.36520305,0.34250203,0.38871318,0.3587004,0.34481674,0.32502013,244
