SequenceID,logFC,logCPM,LR,PValue,FDR,2-fold threshold?,Significant
322,0.010735359,6.149460154,0.002071623,0.963696749,0.978529247,Not Sig,False
323,1.037694368,7.740765739,17.78268725,2.47626E-05,0.000346473,Up,False
324,0.279090519,4.776682429,0.96677676,0.325485363,0.480367612,Not Sig,False
325,-0.152789824,7.633196736,0.40472951,0.524656793,0.665242164,Not Sig,False
326,0.075459804,6.518718683,0.099584334,0.752329021,0.844542002,Not Sig,False
327,0.024927067,6.178729774,0.008010711,0.928682508,0.957152074,Not Sig,False
328,0.015238065,4.967682427,0.002040369,0.963971454,0.978529247,Not Sig,False
329,0.014379916,8.110568235,0.003060322,0.955883391,0.973455302,Not Sig,False
330,0.199004062,5.351373768,0.566938169,0.451478178,0.602348942,Not Sig,False
331,0.167908692,7.415348318,0.56128443,0.453743189,0.603750457,Not Sig,False
332,-0.604620034,3.822401778,3.30540578,0.069052289,0.161431068,Not Sig,False
333,0.417000803,7.699463908,3.403434781,0.065060811,0.15452226,Not Sig,False
334,0.428899585,3.766897339,1.81815225,0.177533377,0.316662093,Not Sig,False
335,0.225554072,5.288283805,0.53051669,0.466389713,0.615768166,Not Sig,False
336,-0.581144111,8.064265007,5.698716748,0.016977321,0.057043129,Not Sig,False
337,-0.290706295,6.659001954,1.595560359,0.206533509,0.352775777,Not Sig,False
338,-0.260428906,5.778525763,1.12966172,0.287847506,0.443079237,Not Sig,False
339,-0.088617078,5.552397745,0.113617435,0.736062734,0.832729781,Not Sig,False
340,0.422392895,5.907991821,2.154855151,0.142119845,0.271698054,Not Sig,False
341,0.273897859,5.232747668,0.927065101,0.33562672,0.488666767,Not Sig,False
342,-0.121628435,5.473111657,0.21916438,0.639677358,0.758309241,Not Sig,False
343,1.199541529,4.259782556,12.5343487,0.000399539,0.003344543,Up,False
344,0.452127214,4.324501099,2.364523338,0.124121821,0.246579034,Not Sig,False
345,-0.409809974,6.696907592,2.924103595,0.087265679,0.191075943,Not Sig,False
