feature_combo,n_features,n_dna_detected,n_leah_detected,n_3class,auc_dna_detected,auc_leah_detected,auc_3class_avg,auc_3class_down,auc_3class_notsig,auc_3class_up
boltz_rosetta_A_C_dG_cross,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_A_C_dG_cross/dSASAx100,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_A_C_dG_separated,1,12000,11796,6811,0.5196300756653967,0.521622818830887,0.5116562295355532,0.5109403754974752,0.5127796316037002,0.5112486815054844
boltz_rosetta_A_C_dG_separated/dSASAx100,1,12000,11796,6811,0.5011941153199158,0.5128671876737244,0.5105057948334091,0.5066024821634166,0.5119169563149104,0.5129979460219004
boltz_rosetta_A_C_dSASA_hphobic,1,12000,11796,6811,0.5808536792132928,0.5644237660861016,0.5447074445145587,0.5468832440370964,0.5467368612740201,0.5405022282325592
boltz_rosetta_A_C_dSASA_int,1,12000,11796,6811,0.5726613042639912,0.5683876766108044,0.5409557013868954,0.5449300588357946,0.5421911296455122,0.5357459156793792
boltz_rosetta_A_C_dSASA_polar,1,12000,11796,6811,0.559086995259277,0.5708605334429364,0.5323020015238469,0.5366427334620649,0.5330889601097557,0.52717431099972
boltz_rosetta_A_C_side2_normalized,1,12000,11796,6811,0.4499836684419444,0.5622027733472035,0.5179874241342111,0.5055236748347793,0.522946931194701,0.5254916663731529
boltz_rosetta_A_C_side2_score,1,12000,11796,6811,0.5703379011828537,0.5801395082325231,0.5359334465638513,0.5412593942360865,0.5251935135769118,0.5413474318785558
boltz_rosetta_complex_normalized,1,12000,11796,6811,0.4933871734519511,0.5697147086539314,0.48912663058244515,0.46300098815125057,0.5049925017467631,0.4993864018493218
boltz_rosetta_dG_cross,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_dG_cross/dSASAx100,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_dG_separated,1,12000,11796,6811,0.5592987237282163,0.6031898661775961,0.5126197437605438,0.5134080339416357,0.502138747971112,0.5223124493688837
boltz_rosetta_dG_separated/dSASAx100,1,12000,11796,6811,0.4908063301617697,0.49228093913218146,0.5001491275882152,0.5263183660148495,0.4894937647018427,0.4846352520479533
boltz_rosetta_dSASA_hphobic,1,12000,11796,6811,0.5607637849985705,0.6178262286492424,0.5418816463969441,0.49103502044294567,0.5640126476839522,0.5705972710639347
boltz_rosetta_dSASA_int,1,12000,11796,6811,0.5542731334649832,0.6287267764238245,0.5387357917736151,0.49021548949749333,0.5592868383760871,0.5667050474472648
boltz_rosetta_dSASA_polar,1,12000,11796,6811,0.5482730520149734,0.6319696278675992,0.530111151216953,0.48806603388724196,0.5471345368348073,0.5551328829288096
boltz_rosetta_A_C_iptm,1,12000,11796,6811,0.5530929394477356,0.5262653766614775,0.488513046040038,0.45644972667192474,0.5038295683884292,0.50525984305976
boltz_rosetta_total_score,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_A_BC_complex_normalized,1,12000,11796,6811,0.4933871734519511,0.5697147086539314,0.48912663058244515,0.46300098815125057,0.5049925017467631,0.4993864018493218
boltz_rosetta_A_BC_dG_cross,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_A_BC_dG_cross/dSASAx100,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_A_BC_dG_separated,1,12000,11796,6811,0.5592987237282163,0.6031898956302176,0.5126195249776653,0.5134080339416357,0.5021385550651887,0.5223119859261717
